Azienda in cui i politici hanno investito;Numero politici che hanno investito
banca etica;1
usg people nv-eur (usg-na);1
pama srl;1
cale service srl (grafia incerta);1
immobiliare acquamarina srl;1
borgo ai conti srl;1
pileum srl;1
sarl mesit algerie;1
banca pop sondrio;1
banca popolare etica;3
agricola dell'ombrone sas;1
qiagen nv eur-xetra (qia gr);1
unicredit ord raggr;1
molmed;1
enel ord raggruppate;1
citigroup ;2
castello di perno srl;1
unika ;1
autobi srl ;1
san felice 1893 banca popolare soc. coop p.a.;1
banca popolare etica scpa;1
b4 holding i spa;1
mc counsulting media partner - caruso e c.;1
buzzi unicem ord;1
banca popolare etica s.c.p.a. ;1
quantas aus;2
i.p. srl;1
sesto srl;1
società agricola frassineto sas;1
la nube di oort srl;2
galimberti spa;1
undici srl;1
cap gemini sa (cap fp eur);2
sottanelli assicurazioni srl;1
giada srl;1
alliang ag eur;1
matarrese immobiliare srl;1
molmed spa;1
clickauto srl;1
banca profilo;1
d'agostino ... (illegibile) srl;1
pernod-ricard eur;1
zenit multistrategy sicav comparto defender classe p;1
rodriguez spa;1
engimus ing. ass. soc. coop;1
ermy srl;1
artemisia;1
qualitynet srl;1
eurizon soluzione 10;2
sagima srl;1
vide 2000 srl;1
allianz azioni italia all stars l;1
bcc della contea di modica;1
esperia srl;1
giorgia srl;1
speikboden ag;1
beni stabili;1
lamar property management inc;1
inrete srl;1
hotel mercurio sas;1
roma polo club;1
banca di credito coop fermo;1
snam ord;1
casa di cura villa aurora spa;1
g.b. paravia & c. srl;1
la martina sas;1
assorappresentanze elettriche snc di gagnarli s. e meon m. ;1
filgest modica;1
finba spa;1
enel 10/16 3,5% tlx;2
darden restaurants inc;1
Anima Italia classe A;2
telefonica s.a.;1
associazione professionale;1
fiat ordinarie (vecchie);1
gibson immobiliare sas;1
mediolanum;3
casa di cura montevergine spa;1
telecom italia mta;1
finecobank spa;1
illeggibile;9
gruppo banco popolare (b.p.n.);1
mcdonald's corp - du nys;1
telefonica deutschland hldg;1
d. telek.;1
